"Car";"Style";"Range_km";"Transmission";"VehicleType";"Price_Lakhs";"Capacity";"BootSpace";"BaseModel";"TopModel";"range_km_num";"seats_num";"bootspace_litre"
"Tata Nexon EV";"Compact SUV";"312 Km/Full Charge";"Automatic";"Electric";17.4;"5 Seater ";"350 L";"XM ";"Dark XZ Plus LUX ";312;5;350
"Tata Tigor EV";"Subcompact Sedan";"306 Km/Full Charge";"Automatic";"Electric";13.64;"5 Seater ";"316 L";"XE ";"XZ Plus Dual Tone ";306;5;316
"Tata Nexon EV Max";"Compact SUV";"437 Km/Full Charge";"Automatic";"Electric";19.24;"5 Seater ";"350 L";"XZ Plus 3.3 kW ";"XZ Plus Lux 7.2 kW ";437;5;350
"MG ZS EV";"Compact SUV";"419 Km/Full Charge";"Automatic";"Electric";25.88;"5 Seater ";"448 L";"Excite ";"Exclusive ";419;5;448
"Hyundai Kona Electric";"Compact SUV";"452 Km/Full Charge";"Automatic";"Electric";23.98;"5 Seater ";"";"Premium Dual Tone ";"HSE ";452;5;0
"Jaguar I-Pace";"Premium Midsize Sedan";"470 Km/Full Charge";"Automatic";"Electric";112.0;"5 Seater ";"656 L";"S ";"Sportback 55 ";470;5;656
"Audi E-Tron GT";"Premium Coupe";"388 Km/Full Charge";"Automatic";"Electric";180.0;"5 Seater ";"405 L";"Quattro ";"";388;5;405
"BYD E6";"Subcompact MPV";"415 Km/Full Charge";"Automatic";"Electric";29.15;"5 Seater ";"580 L";"STD ";"";415;5;580
"Mercedes-Benz EQC";"Compact SUV";"471 Km/Full Charge";"Automatic";"Electric";100.0;"5 Seater ";"";"";"";471;5;0
"BMW iX";"Premium Fullsize SUV";"425 Km/Full Charge";"Automatic";"Electric";116.0;"5 Seater ";"";"";"";425;5;0
"Porsche Taycan";"Premium Sports Sedan";"";"Automatic";"Electric";150.0;"4 Seater ";"";"";"";0;4;0
"Audi E-Tron";"Compact SUV";"400 Km/Full Charge";"Automatic";"Electric";119.0;"5 Seater ";"660 L";"";"";400;5;660
