"Name";"Subtitle";"Acceleration";"TopSpeed";"Range_km";"Efficiency";"FastChargeSpeed";"Drive";"NumberofSeats";"PriceinGermany";"PriceinUK";"price_germany_num";"price_uk_num"
"Opel Ampera-e ";"Battery Electric Vehicle |       58 kWh ";"7.3 sec";"150 km/h";"335 km";"173 Wh/km";"210 km/h";"Front Wheel Drive";"5";"42990";"";42990.0;0.0
"Renault Kangoo Maxi ZE 33";"Battery Electric Vehicle |       31 kWh ";"22.4 sec";"130 km/h";"160 km";"194 Wh/km";"-";"Front Wheel Drive";"5";"";"31680";0.0;31680.0
"Nissan Leaf ";"Battery Electric Vehicle |       36 kWh ";"7.9 sec";"144 km/h";"220 km";"164 Wh/km";"230 km/h";"Front Wheel Drive";"5";"29990";"25995";29990.0;25995.0
"Audi e-tron Sportback 55 quattro";"Battery Electric Vehicle |       86.5 kWh";"5.7 sec";"200 km/h";"375 km";"231 Wh/km";"600 km/h";"All Wheel Drive";"5";"";"79900";0.0;79900.0
"Porsche Taycan Turbo S";"Battery Electric Vehicle |       83.7 kWh";"2.8 sec";"260 km/h";"390 km";"215 Wh/km";"860 km/h";"All Wheel Drive";"4";"186336";"138830";186336.0;138830.0
"Nissan e-NV200 Evalia ";"Battery Electric Vehicle |       36 kWh ";"14.0 sec";"123 km/h";"165 km";"218 Wh/km";"170 km/h";"Front Wheel Drive";"7";"43433";"30255";43433.0;30255.0
"Volkswagen ID.3 Pure Performance";"Battery Electric Vehicle |       45 kWh";"8.9 sec";"160 km/h";"275 km";"164 Wh/km";"260 km/h";"Rear Wheel Drive";"5";"31960";"27120";31960.0;27120.0
"BMW iX3 ";"Battery Electric Vehicle |       74 kWh";"6.8 sec";"180 km/h";"385 km";"192 Wh/km";"520 km/h";"Rear Wheel Drive";"5";"66300";"58850";66300.0;58850.0
"Nissan Leaf e+";"Battery Electric Vehicle |       56 kWh ";"7.3 sec";"157 km/h";"325 km";"172 Wh/km";"390 km/h";"Front Wheel Drive";"5";"38350";"30445";38350.0;30445.0
"BMW i3 120 Ah";"Battery Electric Vehicle |       37.9 kWh";"7.3 sec";"150 km/h";"235 km";"161 Wh/km";"270 km/h";"Rear Wheel Drive";"4";"39000";"31305";39000.0;31305.0
"Mercedes EQA 250";"Battery Electric Vehicle |       66.5 kWh";"8.9 sec";"160 km/h";"355 km";"187 Wh/km";"420 km/h";"Front Wheel Drive";"5";"47541";"43495";47541.0;43495.0
"DS 3 Crossback E-Tense";"Battery Electric Vehicle |       45 kWh ";"8.7 sec";"150 km/h";"250 km";"180 Wh/km";"330 km/h";"Front Wheel Drive";"5";"30040";"31500";30040.0;31500.0
"BMW i3s 120 Ah";"Battery Electric Vehicle |       37.9 kWh";"6.9 sec";"160 km/h";"230 km";"165 Wh/km";"260 km/h";"Rear Wheel Drive";"4";"42600";"32305";42600.0;32305.0
"Sono Sion ";"Battery Electric Vehicle |       47 kWh ";"9.0 sec";"140 km/h";"260 km";"181 Wh/km";"310 km/h";"Front Wheel Drive";"5";"25500";"";25500.0;0.0
"Audi e-tron GT RS";"Battery Electric Vehicle |       85 kWh";"3.3 sec";"250 km/h";"405 km";"210 Wh/km";"810 km/h";"All Wheel Drive";"4";"138200";"110950";138200.0;110950.0
"Kia e-Soul 64 kWh";"Battery Electric Vehicle |       64 kWh";"7.9 sec";"167 km/h";"370 km";"173 Wh/km";"350 km/h";"Front Wheel Drive";"5";"";"37545";0.0;37545.0
"Renault Zoe ZE50 R110";"Battery Electric Vehicle |       52 kWh";"11.4 sec";"135 km/h";"315 km";"165 Wh/km";"230 km/h";"Front Wheel Drive";"5";"31990";"26795";31990.0;26795.0
"Hyundai IONIQ Electric";"Battery Electric Vehicle |       38.3 kWh";"9.7 sec";"165 km/h";"250 km";"153 Wh/km";"220 km/h";"Front Wheel Drive";"5";"35350";"30550";35350.0;30550.0
"Lightyear One ";"Battery Electric Vehicle |       60 kWh ";"10.0 sec";"150 km/h";"575 km";"104 Wh/km";"540 km/h";"All Wheel Drive";"5";"149000";"";149000.0;0.0
"Tesla Roadster ";"Battery Electric Vehicle |       200 kWh ";"2.1 sec";"410 km/h";"970 km";"206 Wh/km";"920 km/h";"All Wheel Drive";"4";"215000";"189000";215000.0;189000.0
"Peugeot e-208 ";"Battery Electric Vehicle |       45 kWh ";"8.1 sec";"150 km/h";"275 km";"164 Wh/km";"370 km/h";"Front Wheel Drive";"5";"30450";"27225";30450.0;27225.0
"Honda e ";"Battery Electric Vehicle |       28.5 kWh ";"9.0 sec";"145 km/h";"170 km";"168 Wh/km";"190 km/h";"Rear Wheel Drive";"4";"33850";"27660";33850.0;27660.0
"CUPRA Born 110 kW - 55 kWh";"Battery Electric Vehicle |       45 kWh";"8.9 sec";"160 km/h";"275 km";"164 Wh/km";"440 km/h";"Rear Wheel Drive";"5";"32700";"28500";32700.0;28500.0
"Audi Q4 e-tron 35";"Battery Electric Vehicle |       51.5 kWh";"9.0 sec";"160 km/h";"280 km";"184 Wh/km";"390 km/h";"Rear Wheel Drive";"5";"41900";"40750";41900.0;40750.0
"Tesla Model Y Long Range Dual Motor";"Battery Electric Vehicle |       76 kWh ";"5.1 sec";"217 km/h";"450 km";"169 Wh/km";"750 km/h";"All Wheel Drive";"7";"59965";"54000";59965.0;54000.0
"Tesla Model Y Performance";"Battery Electric Vehicle |       76 kWh ";"3.7 sec";"241 km/h";"430 km";"177 Wh/km";"720 km/h";"All Wheel Drive";"7";"66965";"60000";66965.0;60000.0
"Porsche Taycan 4 Cross Turismo";"Battery Electric Vehicle |       83.7 kWh";"5.1 sec";"220 km/h";"405 km";"207 Wh/km";"850 km/h";"All Wheel Drive";"4";"93635";"79340";93635.0;79340.0
"Skoda Enyaq iV 50";"Battery Electric Vehicle |       52 kWh";"11.3 sec";"160 km/h";"295 km";"176 Wh/km";"240 km/h";"Rear Wheel Drive";"5";"33800";"";33800.0;0.0
"Volkswagen e-Up! ";"Battery Electric Vehicle |       32.3 kWh";"11.9 sec";"130 km/h";"205 km";"158 Wh/km";"170 km/h";"Front Wheel Drive";"4";"";"";0.0;0.0
